"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"🙏🏽","U+1F64F U+1F3FD","folded hands: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙏🏾","U+1F64F U+1F3FE","folded hands: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙏🏿","U+1F64F U+1F3FF","folded hands: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💍","U+1F48D","ring","SmileysNPeople","Clothing","fully-qualified","Yes"
"💄","U+1F484","lipstick","SmileysNPeople","Clothing","fully-qualified","Yes"
"💋","U+1F48B","kiss mark","SmileysNPeople","Emotion","fully-qualified","Yes"
"👄","U+1F444","mouth","SmileysNPeople","Body","fully-qualified","Yes"
"👅","U+1F445","tongue","SmileysNPeople","Body","fully-qualified","Yes"
"👂","U+1F442","ear","SmileysNPeople","Body","fully-qualified","Yes"
"👂🏻","U+1F442 U+1F3FB","ear: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👂🏼","U+1F442 U+1F3FC","ear: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👂🏽","U+1F442 U+1F3FD","ear: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👂🏾","U+1F442 U+1F3FE","ear: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👂🏿","U+1F442 U+1F3FF","ear: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👃","U+1F443","nose","SmileysNPeople","Body","fully-qualified","Yes"
"👃🏻","U+1F443 U+1F3FB","nose: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👃🏼","U+1F443 U+1F3FC","nose: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👃🏽","U+1F443 U+1F3FD","nose: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👃🏾","U+1F443 U+1F3FE","nose: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👃🏿","U+1F443 U+1F3FF","nose: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👣","U+1F463","footprints","SmileysNPeople","Body","fully-qualified","Yes"
"👁","U+1F441","eye","SmileysNPeople","Body","non-fully-qualified","Yes"
"👀","U+1F440","eyes","SmileysNPeople","Body","fully-qualified","Yes"
"🧠","U+1F9E0","brain","SmileysNPeople","Body","fully-qualified","Yes"
"🗣","U+1F5E3","speaking head","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"👤","U+1F464","bust in silhouette","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"👥","U+1F465","busts in silhouette","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"👶","U+1F476","baby","SmileysNPeople","Person","fully-qualified","Yes"
"👶🏻","U+1F476 U+1F3FB","baby: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👶🏼","U+1F476 U+1F3FC","baby: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👶🏽","U+1F476 U+1F3FD","baby: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👶🏾","U+1F476 U+1F3FE","baby: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👶🏿","U+1F476 U+1F3FF","baby: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👧","U+1F467","girl","SmileysNPeople","Person","fully-qualified","Yes"
"👧🏻","U+1F467 U+1F3FB","girl: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👧🏼","U+1F467 U+1F3FC","girl: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👧🏽","U+1F467 U+1F3FD","girl: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👧🏾","U+1F467 U+1F3FE","girl: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👧🏿","U+1F467 U+1F3FF","girl: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧒","U+1F9D2","child","SmileysNPeople","Person","fully-qualified","Yes"
"🧒🏻","U+1F9D2 U+1F3FB","child: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧒🏼","U+1F9D2 U+1F3FC","child: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧒🏽","U+1F9D2 U+1F3FD","child: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧒🏾","U+1F9D2 U+1F3FE","child: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧒🏿","U+1F9D2 U+1F3FF","child: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👦","U+1F466","boy","SmileysNPeople","Person","fully-qualified","Yes"
"👦🏻","U+1F466 U+1F3FB","boy: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👦🏼","U+1F466 U+1F3FC","boy: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👦🏽","U+1F466 U+1F3FD","boy: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👦🏾","U+1F466 U+1F3FE","boy: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👦🏿","U+1F466 U+1F3FF","boy: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👩","U+1F469","woman","SmileysNPeople","Person","fully-qualified","Yes"
"👩🏻","U+1F469 U+1F3FB","woman: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👩🏼","U+1F469 U+1F3FC","woman: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👩🏽","U+1F469 U+1F3FD","woman: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👩🏾","U+1F469 U+1F3FE","woman: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👩🏿","U+1F469 U+1F3FF","woman: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧑","U+1F9D1","adult","SmileysNPeople","Person","fully-qualified","Yes"
"🧑🏻","U+1F9D1 U+1F3FB","adult: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧑🏼","U+1F9D1 U+1F3FC","adult: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧑🏽","U+1F9D1 U+1F3FD","adult: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧑🏾","U+1F9D1 U+1F3FE","adult: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧑🏿","U+1F9D1 U+1F3FF","adult: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👨","U+1F468","man","SmileysNPeople","Person","fully-qualified","Yes"
"👨🏻","U+1F468 U+1F3FB","man: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👨🏼","U+1F468 U+1F3FC","man: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👨🏽","U+1F468 U+1F3FD","man: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👨🏾","U+1F468 U+1F3FE","man: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👨🏿","U+1F468 U+1F3FF","man: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👱‍♀","U+1F471 U+200D U+2640","blond-haired woman","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏻‍♀","U+1F471 U+1F3FB U+200D U+2640","blond-haired woman: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏼‍♀","U+1F471 U+1F3FC U+200D U+2640","blond-haired woman: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏽‍♀","U+1F471 U+1F3FD U+200D U+2640","blond-haired woman: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏾‍♀","U+1F471 U+1F3FE U+200D U+2640","blond-haired woman: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏿‍♀","U+1F471 U+1F3FF U+200D U+2640","blond-haired woman: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱‍♂","U+1F471 U+200D U+2642","blond-haired man","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏻‍♂","U+1F471 U+1F3FB U+200D U+2642","blond-haired man: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏼‍♂","U+1F471 U+1F3FC U+200D U+2642","blond-haired man: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏽‍♂","U+1F471 U+1F3FD U+200D U+2642","blond-haired man: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏾‍♂","U+1F471 U+1F3FE U+200D U+2642","blond-haired man: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👱🏿‍♂","U+1F471 U+1F3FF U+200D U+2642","blond-haired man: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"🧔","U+1F9D4","bearded person","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧔🏻","U+1F9D4 U+1F3FB","bearded person: light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧔🏼","U+1F9D4 U+1F3FC","bearded person: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧔🏽","U+1F9D4 U+1F3FD","bearded person: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧔🏾","U+1F9D4 U+1F3FE","bearded person: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧔🏿","U+1F9D4 U+1F3FF","bearded person: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👵","U+1F475","old woman","SmileysNPeople","Person","fully-qualified","Yes"
"👵🏻","U+1F475 U+1F3FB","old woman: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👵🏼","U+1F475 U+1F3FC","old woman: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👵🏽","U+1F475 U+1F3FD","old woman: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👵🏾","U+1F475 U+1F3FE","old woman: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👵🏿","U+1F475 U+1F3FF","old woman: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧓","U+1F9D3","older adult","SmileysNPeople","Person","fully-qualified","Yes"
"🧓🏻","U+1F9D3 U+1F3FB","older adult: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧓🏼","U+1F9D3 U+1F3FC","older adult: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧓🏽","U+1F9D3 U+1F3FD","older adult: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧓🏾","U+1F9D3 U+1F3FE","older adult: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"🧓🏿","U+1F9D3 U+1F3FF","older adult: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👴","U+1F474","old man","SmileysNPeople","Person","fully-qualified","Yes"
"👴🏻","U+1F474 U+1F3FB","old man: light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👴🏼","U+1F474 U+1F3FC","old man: medium-light skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👴🏽","U+1F474 U+1F3FD","old man: medium skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👴🏾","U+1F474 U+1F3FE","old man: medium-dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👴🏿","U+1F474 U+1F3FF","old man: dark skin tone","SmileysNPeople","Person","fully-qualified","Yes"
"👲","U+1F472","man with Chinese cap","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👲🏻","U+1F472 U+1F3FB","man with Chinese cap: light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👲🏼","U+1F472 U+1F3FC","man with Chinese cap: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👲🏽","U+1F472 U+1F3FD","man with Chinese cap: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👲🏾","U+1F472 U+1F3FE","man with Chinese cap: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👲🏿","U+1F472 U+1F3FF","man with Chinese cap: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👳‍♀","U+1F473 U+200D U+2640","woman wearing turban","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏻‍♀","U+1F473 U+1F3FB U+200D U+2640","woman wearing turban: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏼‍♀","U+1F473 U+1F3FC U+200D U+2640","woman wearing turban: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏽‍♀","U+1F473 U+1F3FD U+200D U+2640","woman wearing turban: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏾‍♀","U+1F473 U+1F3FE U+200D U+2640","woman wearing turban: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏿‍♀","U+1F473 U+1F3FF U+200D U+2640","woman wearing turban: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳‍♂","U+1F473 U+200D U+2642","man wearing turban","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏻‍♂","U+1F473 U+1F3FB U+200D U+2642","man wearing turban: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏼‍♂","U+1F473 U+1F3FC U+200D U+2642","man wearing turban: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏽‍♂","U+1F473 U+1F3FD U+200D U+2642","man wearing turban: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏾‍♂","U+1F473 U+1F3FE U+200D U+2642","man wearing turban: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👳🏿‍♂","U+1F473 U+1F3FF U+200D U+2642","man wearing turban: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"🧕","U+1F9D5","woman with headscarf","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧕🏻","U+1F9D5 U+1F3FB","woman with headscarf: light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧕🏼","U+1F9D5 U+1F3FC","woman with headscarf: medium-light skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧕🏽","U+1F9D5 U+1F3FD","woman with headscarf: medium skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧕🏾","U+1F9D5 U+1F3FE","woman with headscarf: medium-dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"🧕🏿","U+1F9D5 U+1F3FF","woman with headscarf: dark skin tone","SmileysNPeople","PersonRole","fully-qualified","Yes"
"👮‍♀","U+1F46E U+200D U+2640","woman police officer","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏻‍♀","U+1F46E U+1F3FB U+200D U+2640","woman police officer: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏼‍♀","U+1F46E U+1F3FC U+200D U+2640","woman police officer: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏽‍♀","U+1F46E U+1F3FD U+200D U+2640","woman police officer: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏾‍♀","U+1F46E U+1F3FE U+200D U+2640","woman police officer: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏿‍♀","U+1F46E U+1F3FF U+200D U+2640","woman police officer: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮‍♂","U+1F46E U+200D U+2642","man police officer","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏻‍♂","U+1F46E U+1F3FB U+200D U+2642","man police officer: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏼‍♂","U+1F46E U+1F3FC U+200D U+2642","man police officer: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏽‍♂","U+1F46E U+1F3FD U+200D U+2642","man police officer: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏾‍♂","U+1F46E U+1F3FE U+200D U+2642","man police officer: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👮🏿‍♂","U+1F46E U+1F3FF U+200D U+2642","man police officer: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷‍♀","U+1F477 U+200D U+2640","woman construction worker","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏻‍♀","U+1F477 U+1F3FB U+200D U+2640","woman construction worker: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏼‍♀","U+1F477 U+1F3FC U+200D U+2640","woman construction worker: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏽‍♀","U+1F477 U+1F3FD U+200D U+2640","woman construction worker: medium skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏾‍♀","U+1F477 U+1F3FE U+200D U+2640","woman construction worker: medium-dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏿‍♀","U+1F477 U+1F3FF U+200D U+2640","woman construction worker: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷‍♂","U+1F477 U+200D U+2642","man construction worker","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏻‍♂","U+1F477 U+1F3FB U+200D U+2642","man construction worker: light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"👷🏼‍♂","U+1F477 U+1F3FC U+200D U+2642","man construction worker: medium-light skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
"🎅🏿","U+1F385 U+1F3FF","Santa Claus: dark skin tone","SmileysNPeople","PersonFantasy","fully-qualified","Yes"
"👷🏿‍♂","U+1F477 U+1F3FF U+200D U+2642","man construction worker: dark skin tone","SmileysNPeople","PersonRole","non-fully-qualified","Yes"
